
# TURKISH_SERIES_DATABASE
# Format: ID | Series Name | Season | Episode | URL
# Encoding: UTF-8
------------------------------------------------------------------------------------------------------------------------------------------------------
(The actual content will be copied from FINAL_TURKISH_SERIES_CLEAN.txt by a script to ensure no data loss)
# סדרות מהרשימה האישית שלך בלבד
------------------------------------------------------------------------------------------------------------------------------------------------------
145    | הקיץ האחרון                    | 1 עונה          | פרק 19          | https://main2x2u.b-cdn.net/Turk/part1/Son.Yaz.2021.הקיץ.האחרון/Son.Yaz.S01E19.mp4?v=r7f3a9c2#
146    | הקיץ האחרון                    | 1 עונה          | פרק 20          | https://main2x2u.b-cdn.net/Turk/part1/Son.Yaz.2021.הקיץ.האחרון/Son.Yaz.S01E20.mp4?v=r7f3a9c2#
147    | הקיץ האחרון                    | 1 עונה          | פרק 21          | https://main2x2u.b-cdn.net/Turk/part1/Son.Yaz.2021.הקיץ.האחרון/Son.Yaz.S01E21.mp4?v=r7f3a9c2#
148    | הקיץ האחרון                    | 1 עונה          | פרק 22          | https://main2x2u.b-cdn.net/Turk/part1/Son.Yaz.2021.הקיץ.האחרון/Son.Yaz.S01E22.mp4?v=r7f3a9c2#
149    | הקיץ האחרון                    | 1 עונה          | פרק 23          | https://main2x2u.b-cdn.net/Turk/part1/Son.Yaz.2021.הקיץ.האחרון/Son.Yaz.S01E23.mp4?v=r7f3a9c2#
150    | הקיץ האחרון                    | 1 עונה          | פרק 24          | https://main2x2u.b-cdn.net/Turk/part1/Son.Yaz.2021.הקיץ.האחרון/Son.Yaz.S01E24.mp4?v=r7f3a9c2#
151    | הקיץ האחרון                    | 1 עונה          | פרק 25          | https://main2x2u.b-cdn.net/Turk/part1/Son.Yaz.2021.הקיץ.האחרון/Son.Yaz.S01E25.mp4?v=r7f3a9c2#
152    | הקיץ האחרון                    | 1 עונה          | פרק 26          | https://main2x2u.b-cdn.net/Turk/part1/Son.Yaz.2021.הקיץ.האחרון/Son.Yaz.S01E26.mp4?v=r7f3a9c2#
153    | הקיץ האחרון                    | 1 עונה          | פרק 27          | https://main2x2u.b-cdn.net/Turk/part1/Son.Yaz.2021.הקיץ.האחרון/Son.Yaz.S01E27.mp4?v=r7f3a9c2#
154    | הקיץ האחרון                    | 1 עונה          | פרק 28          | https://main2x2u.b-cdn.net/Turk/part1/Son.Yaz.2021.הקיץ.האחרון/Son.Yaz.S01E28.mp4?v=r7f3a9c2#
155    | הקיץ האחרון                    | 1 עונה          | פרק 29          | https://main2x2u.b-cdn.net/Turk/part1/Son.Yaz.2021.הקיץ.האחרון/Son.Yaz.S01E29.mp4?v=r7f3a9c2#
